GK-2A AMI LRIT DOP(Daily Operation Plan)
BY NATIONAL METEOROLOGICAL SATELLITE CENTER, KOREA METEOROLOGICAL ADMINISTRATION
DISSEMINATION SCHEDULE FROM 2020/08/10
UPDATE 2020/08/10
NOTE: 

＊FOR SEMI REAL-TIME INFORMATION ON GK-2A OPERATION, PLEASE REFER TO FOLLOWING WEBSITE. (http://nmsc.kma.go.kr)
＊A wheel off-loading maneuver is scheduled from [15:28:00.000] on [2019/04/19]. 
   For about 20 minutes, the image quality might be temporarily deteriorated. 
   For about 20 minutes, the image might be disseminated with chipping. (See the following schedule for the details)

＊A wheel off-loading maneuver is scheduled from [06:09:00.000] on [2019/08/21].  
   For about 20 minutes, the image quality might be temporarily deteriorated. 
   For about 20 minutes, the image might be disseminated with chipping. (See the following schedule for the details)

＊A wheel off-loading maneuver is scheduled from [00:47:00.000] on [2019/12/20].  
   For about 20 minutes, the image quality might be temporarily deteriorated. 
   For about 20 minutes, the image might be disseminated with chipping. (See the following schedule for the details)

＊Due to event of sun intrusion into the sensor(from [00:00:00.000] to [00:00:00.000] on [2019/01/01]), some image dissemination will be cancel (See the following schedule for the details).

TIME(UTC)	ABBR_ID	AREA	DISSEMINATION
103940-104000	EGMSG064		O
104006-104236	FD064	FD	O
104300-104330	TYIB004		O
104335-104405	RWW3A004		O
104410-104935	COMSFOG003		O
104940-105000	EGMSG065		O
105006-105236	FD065	FD	O
105940-110000	EGMSG066		O
110006-110236	FD066	FD	O
110300-110340	SUFA03004		O
110940-111000	EGMSG067		O
111006-111236	FD067	FD	O
111940-112000	EGMSG068		O
112006-112236	FD068	FD	O
112300-112330	SSTA001		O
112940-113000	EGMSG069		O
113006-113236	FD069	FD	O
113940-114000	EGMSG070		O
114006-114236	FD070	FD	O
114940-115000	EGMSG071		O
115006-115236	FD071	FD	O
115940-120000	EGMSG072		O
120006-120236	FD072	FD	O
120940-121000	EGMSG073		O
121006-121236	FD073	FD	O
121940-122000	EGMSG074		O
122006-122236	FD074	FD	O
122940-123000	EGMSG075		O
123006-123236	FD075	FD	O
123940-124000	EGMSG076		O
124006-124236	FD076	FD	O
124940-125000	EGMSG077		O
125006-125236	FD077	FD	O
125940-130000	EGMSG078		O
130006-130236	FD078	FD	O
130940-131000	EGMSG079		O
131006-131236	FD079	FD	O
131300-131330	TYIA005		O
131940-132000	EGMSG080		O
132006-132236	FD080	FD	O
132940-133000	EGMSG081		O
133006-133236	FD081	FD	O
133940-134000	EGMSG082		O
134006-134236	FD082	FD	O
134300-134330	RWW3A005		O
134335-134900	COMSFOG004		O
134940-135000	EGMSG083		O
135006-135236	FD083	FD	O
135940-140000	EGMSG084		O
140006-140236	FD084	FD	O
140300-140340	SUFA03005		O
140940-141000	EGMSG085		O
141006-141236	FD085	FD	O
141300-141330	TYIB005		O
141600-141630	UP50A003		O
141940-142000	EGMSG086		O
142006-142236	FD086	FD	O
142940-143000	EGMSG087		O
143006-143236	FD087	FD	O
143940-144000	EGMSG088		O
144006-144236	FD088	FD	O
144940-145000	EGMSG089		O
145006-145236	FD089	FD	O
145940-150000	EGMSG090		O
150006-150236	FD090	FD	O
150500-150630	SUFA12002		O
150700-150840	SUFF24002		O
150940-151000	EGMSG091		O
151006-151236	FD091	FD	O
151300-151520	UP50F24002		O
151525-151745	UP50F48002		O
151940-152000	EGMSG092		O
152006-152236	FD092	FD	O
152300-152330	RWW3F031		O
152335-152405	RWW3F032		O
152410-152440	RWW3F033		O
152445-152515	RWW3F034		O
152520-152550	RWW3F035		O
152555-152625	RWW3F036		O
152630-152700	RWW3F037		O
152705-152735	RWW3F038		O
152740-152810	RWW3F039		O
152815-152845	RWW3F040		O
152940-153000	EGMSG093		O
153300-153330	RWW3F041		O
153335-153405	RWW3F042		O
153410-153440	RWW3F043		O
153445-153515	RWW3F044		O
153520-153550	RWW3F045		O
153555-153625	RWW3F046		O
153630-153700	RWW3F047		O
153705-153735	RWW3F048		O
153740-153810	RWW3F049		O
153815-153845	RWW3F050		O
153940-154000	EGMSG094		O
154006-154236	FD093	FD	O
154300-154330	RWW3F051		O
154335-154405	RWW3F052		O
154410-154440	RWW3F053		O
154445-154515	RWW3F054		O
154520-154550	RWW3F055		O
154555-154625	RWW3F056		O
154630-154700	RWW3F057		O
154705-154735	RWW3F058		O
154740-154810	RWW3F059		O
154815-154845	RWW3F060		O
154940-155000	EGMSG095		O
155006-155236	FD094	FD	O
155300-155340	GWW3F050		O
155345-155425	GWW3F051		O
155430-155510	GWW3F052		O
155515-155555	GWW3F053		O
155600-155640	GWW3F054		O
155645-155725	GWW3F055		O
155730-155810	GWW3F056		O
155815-155855	GWW3F057		O
155940-160000	EGMSG096		O
160006-160236	FD095	FD	O
160300-160340	GWW3F058		O
160345-160425	GWW3F059		O
160430-160510	GWW3F060		O
160515-160555	GWW3F061		O
160600-160640	GWW3F062		O
160645-160725	GWW3F063		O
160730-160810	GWW3F064		O
160815-160855	GWW3F065		O
160940-161000	EGMSG097		O
161006-161236	FD096	FD	O
161300-161330	TYIA006		O
161335-161415	GWW3F066		O
161420-161500	GWW3F067		O
161505-161545	GWW3F068		O
161550-161630	GWW3F069		O
161635-161715	GWW3F070		O
161720-161800	GWW3F071		O
161805-161845	GWW3F072		O
161850-161930	GWW3F073		O
161940-162000	EGMSG098		O
162006-162236	FD097	FD	O
162300-162340	GWW3F074		O
162345-162425	GWW3F075		O
162430-162510	GWW3F076		O
162515-162555	GWW3F077		O
162600-162640	GWW3F078		O
162645-162725	GWW3F079		O
162730-162810	GWW3F080		O
162815-162855	GWW3F081		O
162940-163000	EGMSG099		O
163006-163236	FD098	FD	O
163300-163930	COMSIR1003		O
163940-164000	EGMSG100		O
164006-164236	FD099	FD	O
164300-164330	TYIB006		O
164335-164405	RWW3A006		O
164940-165000	EGMSG101		O
165006-165236	FD100	FD	O
165300-165340	GWW3F082		O
165345-165425	GWW3F083		O
165430-165510	GWW3F084		O
165515-165555	GWW3F085		O
165600-165640	GWW3F086		O
165645-165725	GWW3F087		O
165730-165810	GWW3F088		O
165815-165855	GWW3F089		O
165940-170000	EGMSG102		O
170006-170236	FD101	FD	O
